ebn0,fer,ber
0.0,0.08635,0.1713
0.5,0.069815,0.14006
1.0,0.05251,0.10746
1.5,0.040355,0.08248
2.0,0.027875,0.05816
2.5,0.018995,0.04058
3.0,0.012385,0.02672
3.5,0.00796939059134181,0.017371968591480786
4.0,0.004522661993086997,0.009736624312350908
4.5,0.0023107267882334502,0.005224933382099378
5.0,0.0011762464375213353,0.002646223706459697
5.5,0.0005065,0.001164
6.0,0.0002245,0.00054
