ebn0,fer,ber
0.0,0.29463,0.1127
0.2,0.27235,0.10360714285714286
0.4,0.25189,0.0951
0.6000000000000001,0.22888,0.08531571428571429
0.8,0.21073,0.07776714285714285
1.0,0.19194,0.07042
1.2000000000000002,0.17393,0.06313571428571428
1.4000000000000001,0.1562,0.056272857142857145
1.6,0.13952,0.05020142857142857
1.8,0.12569,0.04451571428571428
2.0,0.10973,0.038392857142857145
2.2,0.09646,0.03379857142857143
2.4000000000000004,0.084,0.029167142857142857
2.6,0.07373,0.025277142857142856
2.8000000000000003,0.0635,0.021654285714285713
3.0,0.05515,0.01854
3.2,0.04654,0.015545714285714286
3.4000000000000004,0.038,0.012591428571428571
3.6,0.03085,0.010045714285714286
3.8000000000000003,0.02734,0.009078571428571429
4.0,0.02257,0.007017142857142857
4.2,0.01886,0.006007142857142857
4.4,0.01407,0.0044428571428571425
4.6000000000000005,0.01137,0.00368
4.800000000000001,0.00893,0.0027
5.0,0.00769,0.0023928571428571428
