ebn0_map,fer_map,ber_map
0.0,0.29498,0.12432875
0.20241989408187044,0.27316,0.11601125
0.4096607533602621,0.2502,0.1057775
0.6219767165501404,0.22735,0.09580875
0.8396127994913571,0.20458,0.0856625
1.0628326716893441,0.18207,0.07593625
1.2919508355397316,0.16016,0.06659
1.5272768464754214,0.14211,0.05985625
1.7691458443983332,0.11931,0.049555
2.017954325301425,0.10081,0.04175875
2.274100669326877,0.0848,0.0349475
2.5380192464005056,0.06965,0.0284325
2.8102208978402583,0.0549,0.0225875
3.0912296505230312,0.04322,0.0178625
3.381621703680306,0.03284,0.0134725
3.6820724069352826,0.02383,0.0097425
3.993289425901905,0.01737,0.006915
4.316058851088387,0.01209,0.00507125
4.651301746046995,0.00725,0.00300875
5.000005022871651,0.00438,0.001745
