ebn0,fer,ber
0.0,0.07911,0.07911
0.2,0.07489,0.07489
0.4,0.07056,0.07056
0.6000000000000001,0.06605,0.06605
0.8,0.06128,0.06128
1.0,0.05584,0.05584
1.2000000000000002,0.0543,0.0543
1.4000000000000001,0.04801,0.04801
1.6,0.04617,0.04617
1.8,0.04102,0.04102
2.0,0.03773,0.03773
2.2,0.03332,0.03332
2.4000000000000004,0.03076,0.03076
2.6,0.02949,0.02949
2.8000000000000003,0.02534,0.02534
3.0,0.02325,0.02325
3.2,0.02112,0.02112
3.4000000000000004,0.0179,0.0179
3.6,0.01681,0.01681
3.8000000000000003,0.01491,0.01491
4.0,0.01298,0.01298
4.2,0.0104,0.0104
4.4,0.00952,0.00952
4.6000000000000005,0.00838,0.00838
4.800000000000001,0.00689,0.00689
5.0,0.00592,0.00592
