ebn0_map,fer_map,ber_map
-2.687839031789707e-06,0.16185,0.08994
0.20241456905104416,0.15138,0.083425
0.4096617691449156,0.13613,0.0755775
0.6219750562762449,0.12399,0.068835
0.8396083273614612,0.10969,0.06063
1.0628350577893109,0.09621,0.0532975
1.2919503676246284,0.08637,0.04798
1.5272733677851589,0.07631,0.0421925
1.7691498329864983,0.0617,0.0341475
2.01795525763736,0.05383,0.029685
2.2740983624701707,0.04388,0.0241425
2.5380251341167552,0.03499,0.019495
2.8102234978821627,0.0276,0.0151875
3.0912287466855886,0.02167,0.012085
3.3816298779331353,0.01688,0.0093625
3.682077026856769,0.0122,0.00686
3.9932805055144627,0.00885,0.004915
4.316059736381116,0.00582,0.0032075
4.651298370594811,0.00356,0.0019575
4.999997037613763,0.00237,0.0013025
