ebn0,fer,ber
0.0,0.18253,0.092975
0.2,0.17199,0.0870625
0.4,0.15579,0.0782925
0.6000000000000001,0.14168,0.0713175
0.8,0.12955,0.06457
1.0,0.11542,0.0578825
1.2000000000000002,0.10512,0.0520375
1.4000000000000001,0.09362,0.046405
1.6,0.08372,0.0411875
1.8,0.0737,0.0361725
2.0,0.06529,0.0318
2.2,0.05654,0.02772
2.4000000000000004,0.04864,0.023895
2.6,0.04197,0.019995
2.8000000000000003,0.03537,0.0167825
3.0,0.03088,0.01458
3.2,0.02557,0.0122075
3.4000000000000004,0.02097,0.0098925
3.6,0.01715,0.00819
3.8000000000000003,0.01467,0.0068475
4.0,0.01204,0.0055225
4.2,0.00932,0.0042175
4.4,0.0073,0.00339
4.6000000000000005,0.00551,0.0024425
4.800000000000001,0.00468,0.00212
5.0,0.00364,0.0016
