ebn0,fer,ber
0.0,0.181225,0.085395
0.2,0.1645,0.077526
0.4,0.14955,0.069758
0.6000000000000001,0.134085,0.062524
0.8,0.12083,0.056009
1.0,0.10701,0.049392
1.2000000000000002,0.094005,0.043031
1.4000000000000001,0.08424,0.038257
1.6,0.071505,0.03248
1.8,0.06135,0.027755
2.0,0.05307,0.023761
2.2,0.045865,0.020468
2.4000000000000004,0.03863,0.017256
2.6,0.031825,0.014096
2.8000000000000003,0.026115,0.011465
3.0,0.02169,0.009567
3.2,0.01705,0.007326
3.4000000000000004,0.01383,0.006085
3.6,0.011295,0.004731
3.8000000000000003,0.00863,0.003662
4.0,0.00676,0.002806
4.2,0.00514,0.002132
4.4,0.00376,0.001595
4.6000000000000005,0.00285,0.001229
4.800000000000001,0.002245,0.00094
5.0,0.00152,0.00059
